0; Zero
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_10; Punto 10 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_11; Punto 11 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_12; Punto 12 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_13; Punto 13 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_14; Punto 14 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_15; Punto 15 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_16; Punto 16 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_17; Punto 17 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_18; Punto 18 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_19; Punto 19 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_2; Punto 2 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_20; Punto 20 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_21; Punto 21 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_3; Punto 3 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_4; Punto 4 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_5; Punto 5 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_6; Punto 6 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_7; Punto 7 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_8; Punto 8 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_9; Punto 9 segnale curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_1; Punto 1 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_10; Punto 10 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_11; Punto 11 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_12; Punto 12 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_13; Punto 13 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_14; Punto 14 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_15; Punto 15 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_16; Punto 16 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_17; Punto 17 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_18; Punto 18 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_19; Punto 19 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_2; Punto 2 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_20; Punto 20 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_21; Punto 21 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_3; Punto 3 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_4; Punto 4 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_5; Punto 5 portata curva caratteristica aria comburente
